date_rev,Product ID,Product Name,Date,Customer Order Quantity,Dispatched Quantity,Year,Month ,Day,first_week_day
2/1/22,000161032,Material_4,01.02.2022,2,4,2022,2,1,1/31/22
2/1/23,000161032,Material_4,01.02.2023,60,68,2023,2,1,1/30/23
2/1/24,000161032,Material_4,01.02.2024,20,23,2024,2,1,1/29/24
3/1/22,000161032,Material_4,01.03.2022,53,0,2022,3,1,2/28/22
3/1/23,000161032,Material_4,01.03.2023,99,33,2023,3,1,2/27/23
3/1/24,000161032,Material_4,01.03.2024,150,0,2024,3,1,2/26/24
4/1/22,000161032,Material_4,01.04.2022,27,27,2022,4,1,3/28/22
4/1/23,000161032,Material_4,01.04.2023,23,115,2023,4,1,3/27/23
4/1/24,000161032,Material_4,01.04.2024,80,40,2024,4,1,4/1/24
6/1/22,000161032,Material_4,01.06.2022,4,27,2022,6,1,5/30/22
6/1/23,000161032,Material_4,01.06.2023,20,13,2023,6,1,5/29/23
7/1/22,000161032,Material_4,01.07.2022,85,8,2022,7,1,6/27/22
7/1/23,000161032,Material_4,01.07.2023,7,30,2023,7,1,6/26/23
8/1/22,000161032,Material_4,01.08.2022,39,63,2022,8,1,8/1/22
8/1/23,000161032,Material_4,01.08.2023,38,156,2023,8,1,7/31/23
8/1/24,000161032,Material_4,01.08.2024,101,0,2024,8,1,7/29/24
9/1/22,000161032,Material_4,01.09.2022,11,1,2022,9,1,8/29/22
9/1/23,000161032,Material_4,01.09.2023,55,12,2023,9,1,8/28/23
10/1/22,000161032,Material_4,01.10.2022,0,43,2022,10,1,9/26/22
10/1/24,000161032,Material_4,01.10.2024,90,0,2024,10,1,9/30/24
11/1/22,000161032,Material_4,01.11.2022,75,56,2022,11,1,10/31/22
11/1/23,000161032,Material_4,01.11.2023,165,81,2023,11,1,10/30/23
11/1/24,000161032,Material_4,01.11.2024,0,20,2024,11,1,10/28/24
12/1/22,000161032,Material_4,01.12.2022,54,15,2022,12,1,11/28/22
12/1/23,000161032,Material_4,01.12.2023,70,10,2023,12,1,11/27/23
1/2/23,000161032,Material_4,02.01.2023,43,0,2023,1,2,1/2/23
1/2/24,000161032,Material_4,02.01.2024,60,30,2024,1,2,1/1/24
2/2/22,000161032,Material_4,02.02.2022,126,145,2022,2,2,1/31/22
2/2/23,000161032,Material_4,02.02.2023,87,0,2023,2,2,1/30/23
2/2/24,000161032,Material_4,02.02.2024,214,73,2024,2,2,1/29/24
3/2/22,000161032,Material_4,02.03.2022,126,0,2022,3,2,2/28/22
3/2/23,000161032,Material_4,02.03.2023,0,6,2023,3,2,2/27/23
3/2/24,000161032,Material_4,02.03.2024,253,0,2024,3,2,2/26/24
4/2/22,000161032,Material_4,02.04.2022,0,33,2022,4,2,3/28/22
4/2/24,000161032,Material_4,02.04.2024,101,75,2024,4,2,4/1/24
5/2/22,000161032,Material_4,02.05.2022,1,0,2022,5,2,5/2/22
5/2/23,000161032,Material_4,02.05.2023,15,51,2023,5,2,5/1/23
5/2/24,000161032,Material_4,02.05.2024,10,0,2024,5,2,4/29/24
6/2/22,000161032,Material_4,02.06.2022,139,144,2022,6,2,5/30/22
6/2/23,000161032,Material_4,02.06.2023,80,25,2023,6,2,5/29/23
6/2/24,000161032,Material_4,02.06.2024,0,100,2024,6,2,5/27/24
7/2/22,000161032,Material_4,02.07.2022,0,24,2022,7,2,6/27/22
7/2/23,000161032,Material_4,02.07.2023,2,0,2023,7,2,6/26/23
7/2/24,000161032,Material_4,02.07.2024,22,0,2024,7,2,7/1/24
8/2/22,000161032,Material_4,02.08.2022,5,41,2022,8,2,8/1/22
8/2/23,000161032,Material_4,02.08.2023,91,105,2023,8,2,7/31/23
8/2/24,000161032,Material_4,02.08.2024,340,5,2024,8,2,7/29/24
9/2/22,000161032,Material_4,02.09.2022,145,31,2022,9,2,8/29/22
9/2/23,000161032,Material_4,02.09.2023,11,54,2023,9,2,8/28/23
9/2/24,000161032,Material_4,02.09.2024,21,0,2024,9,2,9/2/24
10/2/23,000161032,Material_4,02.10.2023,10,12,2023,10,2,10/2/23
10/2/24,000161032,Material_4,02.10.2024,33,30,2024,10,2,9/30/24
11/2/22,000161032,Material_4,02.11.2022,38,24,2022,11,2,10/31/22
11/2/23,000161032,Material_4,02.11.2023,32,10,2023,11,2,10/30/23
12/2/22,000161032,Material_4,02.12.2022,152,56,2022,12,2,11/28/22
12/2/23,000161032,Material_4,02.12.2023,20,39,2023,12,2,11/27/23
1/3/22,000161032,Material_4,03.01.2022,0,120,2022,1,3,1/3/22
1/3/23,000161032,Material_4,03.01.2023,0,145,2023,1,3,1/2/23
1/3/24,000161032,Material_4,03.01.2024,36,0,2024,1,3,1/1/24
2/3/22,000161032,Material_4,03.02.2022,1,107,2022,2,3,1/31/22
2/3/23,000161032,Material_4,03.02.2023,242,50,2023,2,3,1/30/23
2/3/24,000161032,Material_4,03.02.2024,11,175,2024,2,3,1/29/24
3/3/22,000161032,Material_4,03.03.2022,5,19,2022,3,3,2/28/22
3/3/23,000161032,Material_4,03.03.2023,68,18,2023,3,3,2/27/23
4/3/22,000161032,Material_4,03.04.2022,0,63,2022,4,3,3/28/22
4/3/23,000161032,Material_4,03.04.2023,40,20,2023,4,3,4/3/23
4/3/24,000161032,Material_4,03.04.2024,130,30,2024,4,3,4/1/24
5/3/22,000161032,Material_4,03.05.2022,85,0,2022,5,3,5/2/22
5/3/23,000161032,Material_4,03.05.2023,151,13,2023,5,3,5/1/23
5/3/24,000161032,Material_4,03.05.2024,5,0,2024,5,3,4/29/24
6/3/22,000161032,Material_4,03.06.2022,101,20,2022,6,3,5/30/22
6/3/23,000161032,Material_4,03.06.2023,0,121,2023,6,3,5/29/23
7/3/24,000161032,Material_4,03.07.2024,12,0,2024,7,3,7/1/24
8/3/22,000161032,Material_4,03.08.2022,325,34,2022,8,3,8/1/22
8/3/23,000161032,Material_4,03.08.2023,54,3,2023,8,3,7/31/23
8/3/24,000161032,Material_4,03.08.2024,10,40,2024,8,3,7/29/24
9/3/22,000161032,Material_4,03.09.2022,0,130,2022,9,3,8/29/22
9/3/24,000161032,Material_4,03.09.2024,70,89,2024,9,3,9/2/24
10/3/22,000161032,Material_4,03.10.2022,41,0,2022,10,3,10/3/22
10/3/23,000161032,Material_4,03.10.2023,3,8,2023,10,3,10/2/23
10/3/24,000161032,Material_4,03.10.2024,40,43,2024,10,3,9/30/24
11/3/22,000161032,Material_4,03.11.2022,78,5,2022,11,3,10/31/22
11/3/23,000161032,Material_4,03.11.2023,32,0,2023,11,3,10/30/23
12/3/22,000161032,Material_4,03.12.2022,59,4,2022,12,3,11/28/22
12/3/24,000161032,Material_4,03.12.2024,0,110,2024,12,3,12/2/24
1/4/22,000161032,Material_4,04.01.2022,0,75,2022,1,4,1/3/22
1/4/24,000161032,Material_4,04.01.2024,33,22,2024,1,4,1/1/24
